LectureHall;RoomNumber;BuildingID
Communications Pathology 3-7;3-7;2
Communications Pathology 3-26;3-26;2
Communications Pathology 4-4;4-4;2
Communications Pathology 3-15;3-15;2
Communications Pathology 1-11;1-11;2
Communications Pathology 1-7;1-7;2
Building Science 1-10;1-10;3
Building Science 2-6;2-6;3
Building Science 2-14;2-14;3
Building Science 3-3;3-3;3
Visual Arts 2-19;2-19;4
Visual Arts 3-18;3-18;4
Prospect 9;1-1;4
Heavy Machinery Lab A;1-3;7
Heavy Machinery Lab B;1-5;7
Drawing Hall 2-36;2-36;8
Eng II 2-37;2-37;8
Eng II 3-40;3-40;8
Eng II 3-25;3-25;8
Eng II 3-27;3-27;8
Eng II 3-28;3-28;8
Eng II 3-31;3-31;8
Eng II 3-34;3-34;8
Eng NS2 Comp Lab 3-46;3-46;8
Eng II 3-60;3-60;8
Eng II 1-60.1;1-60.1;8
Analytical Instrument Lab 3-50;3-50;8
Biochemical Engineering Lab 3-61;3-61;8
Biochemical Engineering Lab 3-67;3-67;8
Bio Process Engineering Lab 3-66;3-66;8
Bio Process Engineering Pilot Plant 3-71;3-71;8
Materials Development Lab 3-47;3-47;8
Waste Valorisation Research Lab 3-49;3-49;8
Wet Chemistry Lab 3-48;3-48;8
Eng II 4-38;4-38;8
Eng II 4-21;4-21;8
Eng II 4-30;4-30;8
Eng II 4-36;4-36;8
Eng NS2 Comp Lab 4-39.1;4-39.1;8
Third Year Lab 2-54;2-54;8
Drawing Hall 2-27;2-27;8
Tuks Baja Lab 1-8;1-8;8
VDG Lab 1-12;1-12;8
VDG Lab 1-13;1-13;8
Eng I 1-9;1-9;9
Eng I 1-12;1-12;9
Eng I 1-15;1-15;9
Eng I 1-16;1-16;9
Eng I 1-1;1-1;9
Eng I 1-2;1-2;9
Eng I 1-3;1-3;9
Eng I 1-4;1-4;9
Eng I 1-5;1-5;9
Eng I 1-6;1-6;9
Eng I 1-7;1-7;9
Eng I 1-8;1-8;9
Eng I 1-10;1-10;9
Eng I 1-11;1-11;9
Annexe 2-10;2-10;12
Annexe 2-7;2-7;12
Annexe 2-11;2-11;12
Auditorium 2-5;2-5;12
Auditorium 2-12;2-12;12
Annexe Tutor Room 1 4-1;4-1;12
Annexe Tutor Room 2 4-9;4-9;12
Annexe Tutor Room 3 4-12;4-12;12
Annexe Tutor Room 4 4-13;4-13;12
Annexe Tutor Room 5 5-1;5-1;12
